listened_at,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-01-25 03:27:07.297,6GYD89yy67WEgDznO2SFQN,Such a beautiful thing,0kRAVpQhUUArA8UnYwEdeZ,Kwon Jin Ah,0.891,0.571,0.177,0.118,-14.971,0.00113,0.0394,136.026,0.131,348147,1,0
2023-01-25 03:21:18.578,0yj3V8qM2NyHpeJAhI6gYz,LMKWYGH,1fTkQhPBZEiSI2sli8T8hG,Thin Blue Collective,0.697,0.651,0.611,0.254,-10.61,0.061,0.0943,79.975,0.375,375386,1,6
2023-01-25 03:15:02.850,3t0jz1RuFVgLHb0E5rG8TI,Never Leave Me (Feat. pH-1),5KuvNz7npsGeDJdk8QHMVH,meenoi,0.816,0.687,0.346,0.0829,-7.837,8.16e-06,0.0564,81.998,0.47,216601,0,3
2023-01-25 03:11:25.637,5SHpuW2qjkQtFRpE6P9Nks,The 30th,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0.929,0.387,0.135,0.0948,-14.398,0.0,0.051,82.987,0.21,216448,1,7
2023-01-25 03:07:48.879,6r1Jwbd0UwCpuLzPG4y9Ub,Ghosting (Prod. CODE KUNST),5a8EJtOEbUJDF4RX3mKK02,Woo,0.802,0.804,0.705,0.0945,-5.056,1.99e-06,0.182,124.011,0.481,220693,0,1
2023-01-25 03:04:07.371,1vbn9fEyw1IYhqgZJdu9ZB,Falling Back,3TVXtAsR1Inumwj472S9r4,Drake,0.238,0.718,0.758,0.11,-8.29,0.00653,0.0703,118.989,0.349,266179,1,10
2023-01-25 02:59:40.814,00lg2EJeEw5SQbqtLWrGOz,dried flower,5069JTmv5ZDyPeZaCCXiCg,wave to earth,0.647,0.376,0.295,0.111,-11.729,0.685,0.0324,121.562,0.0953,215250,0,4
2023-01-25 02:56:04.724,2wLsNE3k1TGAMm5JSqsYUX,Sool (Feat. THAMA),55l6wA0gGh2Y1OpE5lUYLc,snzae,0.522,0.503,0.641,0.0983,-7.455,0.000382,0.064,89.799,0.198,230560,1,1
2023-01-25 02:52:13.440,15P42MSerikUgnPYqR8sSC,"Talk To Me (feat. Ellui, dori)",3ai1NgxNCUgcRr0BPbBOAc,Daul,0.484,0.78,0.628,0.385,-3.061,0.000826,0.0501,150.97,0.806,168280,1,8
2023-01-25 02:49:24.977,3rWDp9tBPQR9z6U5YyRSK4,Midnight Rain,06HL4z0CvFAxyc27GXpf02,Taylor Swift,0.69,0.643,0.363,0.115,-11.738,5.17e-05,0.0767,139.865,0.23,174783,1,0
2023-01-25 02:46:29.718,70l9WbRhCmYrnT02psPSMv,ANYWHERE ANYTIME,2pRZp2WxvnWWiSPcSSYkNV,george,0.904,0.514,0.45,0.233,-9.32,0.0,0.0558,77.445,0.443,156560,1,8
2023-01-25 02:43:53.102,3OzK36ab8gCMqsEiNwdQdI,MOON,6cMnpAZ9QN0wn4dVd0Tinb,TENDRE,0.935,0.508,0.155,0.1,-15.796,0.176,0.0418,101.803,0.145,271880,1,0
2023-01-25 02:39:20.110,5IYrzxsiNadSNeddKqnft3,Our,5a8EJtOEbUJDF4RX3mKK02,Woo,0.833,0.643,0.415,0.0907,-9.453,0.000635,0.0504,180.149,0.55,214000,1,2
2023-01-25 02:35:46.108,4QUzLCXrpHO4c6dGyZlpO2,killer,6nB0iY1cjSY1KyhYyuIIKH,FKA twigs,0.168,0.401,0.619,0.272,-7.035,0.0,0.21,78.763,0.757,176876,0,0
2023-01-25 02:32:48.225,5y5SHTh6nq8b4Frs3usMpp,For Us,3ai1NgxNCUgcRr0BPbBOAc,Daul,0.253,0.736,0.639,0.0744,-5.364,0.0002,0.0379,159.981,0.941,219001,1,6
2023-01-25 02:29:08.675,35ovElsgyAtQwYPYnZJECg,Lift Me Up - From Black Panther: Wakanda Forever - Music From and Inspired By,5pKCCKE2ajJHZ9KAiaK11H,Rihanna,0.899,0.247,0.299,0.131,-6.083,0.0,0.0315,177.115,0.172,196520,1,9
2023-01-25 02:25:51.475,0YhTNs46xlfwDUxvNNh0xb,FINE (feat. SOMA & WOODZ),3Rxm9TaXZGuQRw2B91Ap22,BOYCOLD,0.329,0.663,0.478,0.265,-6.868,0.0,0.0296,137.967,0.712,213320,1,1
2023-01-25 02:22:18.110,7sqtyHfTHtkLtnxuQ3ttvo,Dear My Winter,2pRZp2WxvnWWiSPcSSYkNV,george,0.83,0.784,0.321,0.34,-8.534,0.0,0.0534,84.96,0.489,200933,1,7
2023-01-25 02:18:56.908,5KYo9TWZkFvypernAQDp1M,In My Head,1qOPo6b0U3t7BpyO8Ti1MF,NIve,0.718,0.59,0.367,0.0985,-6.014,1.11e-06,0.0535,123.89,0.708,200773,0,3
2023-01-25 02:15:35.562,0HEX8HE9Dznsu5VCdeZrGf,mmm (feat. oceanfromtheblue),0hoIUrMFR0Cy6aTbma8b2o,unofficialboyy,0.758,0.756,0.548,0.413,-6.601,0.0,0.054,105.986,0.727,185660,1,7
