day,hour,track_id,track_name,artist_id,artist_name,acousticness,danceability,energy,liveness,loudness,instrumentalness,speechiness,tempo,valence,duration(ms),mode,key
2023-01-31,20,2I0uCY7VX3XkMx9s6gMM4K,#Self_Trip,3qo507hAo0pjRj42AmioUv,MINSEO,0.0786,0.772,0.91,0.545,-1.865,1.88e-06,0.0884,106.978,0.762,181740,0,11
2023-01-31,20,2qtCQvyEZ5Cm9pfd9dpU6t,Throwback Tears,7blXVKBSxdFZsIqlhdViKc,Valley,0.106,0.743,0.692,0.405,-5.587,0.0,0.045,89.985,0.649,117943,1,1
2023-01-31,20,0MLF5da6SiuWndgqvjC8mX,Best Friend (feat.Woo),0K4MGKGmjtdIE0W3GkGmyU,SUMIN,0.319,0.916,0.657,0.0807,-5.551,3.01e-06,0.0615,105.014,0.961,159500,0,10
2023-01-31,20,5NHUnbH92aR95LyvUAHwDX,On My Body - with Owlle,27aQ2UEugFgzcWHQBNlK8g,Carl Chaste,0.148,0.709,0.758,0.107,-5.83,0.438,0.0484,120.044,0.806,194125,1,7
2023-01-31,20,5EZvAw5NlgMK6L4RX6aqOq,Supersonic,2rpzQGsbfz1uh1kAZV4yZp,aici,0.031,0.527,0.903,0.12,-4.794,0.0,0.0804,128.009,0.567,208144,1,9
2023-01-31,20,4Z9MKWCUTDwZJB1tyetkto,Rich Like That - deluxe,6xgvgzXNv3ymcITXTrxRaA,ELIO,0.211,0.529,0.719,0.133,-5.466,0.000243,0.226,100.041,0.563,141576,1,1
2023-01-31,20,5rpwJ4cUvE133ExIlX0xTl,Wrongside,5ivCbtrcD5N4rD337xIb2z,MisterWives,0.0858,0.648,0.803,0.128,-3.613,1.21e-05,0.0312,118.012,0.751,209893,1,5
2023-01-31,20,1F4ndGt7gZ5bD8h2Eam1uT,Girls Like You,4Q4b4S784htx6DtxcMUfMO,Robin Packalen,0.033,0.672,0.817,0.311,-4.339,0.0,0.0344,121.933,0.806,167813,0,5
2023-01-31,20,5tXDj9RcCvE0G7sWLlLZDB,Fever (feat. Lukas Graham),23fqKkggKUBHNkbKtXEls4,Kygo,0.298,0.761,0.784,0.111,-6.435,8.22e-05,0.044,120.074,0.521,192973,0,2
2023-01-31,20,13pi0x8USI7WATLxqfdu6M,I mean (feat. Luli Lee),38IwvgYKTkEVuVg1jaqVQL,BULGOGIDISCO,0.158,0.532,0.785,0.125,-7.157,0.0422,0.0619,159.836,0.656,233500,1,7
